epoch,accuracy,loss,val_accuracy,val_loss
0,0.33651468,1.760216222029793,0.40582334995269775,1.6004096514403439
1,0.43230346,1.5138497650197706,0.44761770963668823,1.4920075568823337
2,0.4783169,1.3939700053691482,0.5061298608779907,1.3851105478953172
3,0.5057299,1.322062307658284,0.5122596621513367,1.3006144491999752
4,0.5243652,1.269595453414371,0.442741721868515,1.5653772576003395
5,0.5353722,1.2455867425190161,0.5561437606811523,1.1932040130437733
6,0.5461702,1.2156524047021429,0.5395653247833252,1.2405692693017325
7,0.55832666,1.1921710535801375,0.5473669767379761,1.2324640108503382
8,0.5602076,1.1752924115548433,0.5419337153434753,1.2219556044921067
9,0.57006514,1.1537248963011508,0.5441626906394958,1.240016670122755
